id	left	target	right	lemma
dip/noun/nrc_handelsblad_20010209_159/1910	, ik zoek iets . \" Al zoekend vertelt hij dat zijn werk de laatste tijd een beetje in een	dip	zat : \" Er was een onrust van binnenuit . November en december waren zulke sombere maanden - dat grijze	dip
inzinking/noun/nrc_handelsblad_20020820_3/257	bull-market ' met al maar stijgende koersen , al helemaal niet . Maar deze recessie is niet zomaar een economische	inzinking	. Alan Greenspan , het hoofd van de Amerikaanse centrale bank , mag dan volharden in zijn stellingname tegen de	inzinking
inzinking/noun/het_laatste_nieuws_19990120_01_565/55	is leider Ardennen zo goed als zeker van de titel . Tenzij de ploeg van trainer Filip Siau een spectaculaire	inzinking	kent , kan de titel Ardennen niet meer ontsnappen . Over de tweede plaats is echter nog helemaal niets gezegd	inzinking
inzinking/noun/het_nieuwsblad_20020415_01_23/125	als dat gebeurt . Museeuw niet . Hij zal dus ook nog lang niet stoppen . Een week na zijn	inzinking	in de Ronde van Vlaanderen hield hij vandaag een zegetocht . Dat moet je kunnen . We zullen nog vaak	inzinking
inzinking/noun/de_standaard_20030829_01_17/1273	Maes , kinderboekhandel De kleine Johannes , Leuven : \" Het Internet begint blijkbaar te vervelen , want na een	inzinking	van een paar jaar verkopen we weer volop boeken aan tieners . Er zijn niet veel jongeren die boeken lezen	inzinking
inzinking/noun/nrc_handelsblad_20020921_19/55	over het derde kwartaal 18 procent lager uit dan de verwachtingen - en die hadden al rekening gehouden met de	inzinking	in de zakenbanksector . De omzet uit de begeleiding van fusies en overnames daalde met een derde , evenals de	inzinking
inzinking/noun/nrc_handelsblad_20020906_9/712	met 0,7 procent , wat mager afsteekt bij de stijging van 4,6 procent van het afgelopen jaar . Een economische	inzinking	, verergerd door de aanslagen van 11 september en de slecht presterende aandelenmarkten , heeft ervoor gezorgd dat potentiële toeristen	inzinking
inzinking/noun/de_morgen_20010217_01_251/866	, ook al leidt die metamorfose soms tot wisselvallige resultaten . Maar liever een avonturier met af en toe een	inzinking	, dan een perfectionist die altijd op veilig speelt . WIE : Joe Jackson WAAR EN WANNEER : Koningin Elisabethzaal	inzinking
dip/noun/volkskrant_20040921_137/22	In de aanloop naar de oorlog in Irak scoorden defensieaandelen als Northrop Grumman goed . Na een	dip	tijdens en na de oorlog in 2003 stijgen de aandelen nu weer , omdat zowel president Bush als presidentskandidaat Kerry	dip
dip/noun/de_morgen_20030617_01_103/532	. Die is minder conjunctuurgevoelig omdat hij lager in de markt staat dan de Mondeo . \" Helaas komt de	dip	in de verkoop nu zeer ongelegen . \" Door die ombouw moet begin volgend jaar één van de drie ploegen	dip
